File: /image_copy_3.bmp, Duration: 372.559744ms
File: /image_copy_2.bmp, Duration: 456.050991ms
File: /image_copy_11.bmp, Duration: 479.015608ms
File: /image_copy_7.bmp, Duration: 429.608307ms
File: /image_copy_1.bmp, Duration: 494.413939ms
File: /image_copy_5.bmp, Duration: 454.561127ms
File: /image_copy_8.bmp, Duration: 430.881146ms
File: /image_copy_4.bmp, Duration: 473.00834ms
File: /image_copy_6.bmp, Duration: 459.56506ms
File: /image_copy_9.bmp, Duration: 436.433915ms
File: /image_copy_10.bmp, Duration: 546.224326ms
