File: /image_copy_10.bmp, Duration: 640.023416ms
File: /image_copy_11.bmp, Duration: 574.57294ms
File: /image_copy_1.bmp, Duration: 505.364203ms
File: /image_copy_2.bmp, Duration: 491.178724ms
File: /image_copy_3.bmp, Duration: 479.89409ms
File: /image_copy_4.bmp, Duration: 515.883648ms
File: /image_copy_5.bmp, Duration: 483.991359ms
File: /image_copy_7.bmp, Duration: 1.022627859s
File: /image_copy_9.bmp, Duration: 948.041622ms
File: /image_copy_8.bmp, Duration: 1.119179133s
File: /image_copy_6.bmp, Duration: 1.480941709s
