File: /image_copy_1.bmp, Duration: 421.218678ms
File: /image_copy_11.bmp, Duration: 481.262603ms
File: /image_copy_10.bmp, Duration: 556.931984ms
File: /image_copy_5.bmp, Duration: 351.748401ms
File: /image_copy_6.bmp, Duration: 300.803403ms
File: /image_copy_2.bmp, Duration: 467.430468ms
File: /image_copy_4.bmp, Duration: 402.6966ms
File: /image_copy_3.bmp, Duration: 437.817708ms
File: /image_copy_7.bmp, Duration: 262.743911ms
File: /image_copy_8.bmp, Duration: 249.353538ms
File: /image_copy_9.bmp, Duration: 319.845965ms
